fold,rmse,mean_rmse
1,2643.3780960394884,3413.0958351738473
2,3682.054090719246,3413.0958351738473
3,3101.5275726344044,3413.0958351738473
4,4727.524695788677,3413.0958351738473
5,2910.9947206874217,3413.0958351738473
