model,trainARI,testARI,testARI_l,testARI_u,testARI_trim,testRMSE,testRMSE_l,testRMSE_u,testRMSE_trim,testLPS,testLPS_l,testLPS_u,nclusters,trainARISalsoBinder,trainARISalsoVI,testARISalsoBinder,testARISalsoVI,trainARImodalSalsoBinder,trainARImodalSalsoVI,testARImodalSalsoBinder,testARImodalSalsoVI
PPMx-common,,0.024190359880365876,0.010077945404158881,0.03475475569904518,0.01837245466915169,5906.540381793288,1.322867287504614,233631.67326401532,1.1014927656368874,-1.522366008686787,-1.7467121272361734,-1.4210121283702795,4,,,0.0297478159429333,0.0020403868584278383,,,0.7735053205112807,0.030007991614572665
PPMx (standard),,0.019436713278279446,0.011871066085994284,0.01915704293643266,0.015686614937486767,20994.981389568577,1.378768625950854,334317.66277924844,1.1484017808991118,-1.7267160414482265,-2.2659750485925247,-1.5112809444939517,3,,,0.019006498680686542,0.007180889863300897,,,0.9311662634841316,0.14829384449027355
k-means,,0.02734461828241812,,,,0.97353824962782,,,,-1.3924856853638767,,,19,,,,,,,,
DP-GMM,,0.03694297285496309,,,,NaN,,,,NaN,,,13,,,,,,,,
