sample,mean_rmse,sd_rmse,rmse_l,rmse_u,n_folds
combined,4.048029995558448e104,9.051670245026862e104,3999.4036087174222,1.8216134980013023e105,5
female,3170.616709598837,762.0092097808572,2410.3117579571435,4217.43834390092,5
male,3413.0958351738473,827.9051096248423,2670.1397585042814,4622.9776352817335,5
