model,trainARI,testARI,testARI_l,testARI_u,testARI_trim,testRMSE,testRMSE_l,testRMSE_u,testRMSE_trim,testLPS,testLPS_l,testLPS_u,nclusters,trainARISalsoBinder,trainARISalsoVI,testARISalsoBinder,testARISalsoVI,trainARImodalSalsoBinder,trainARImodalSalsoVI,testARImodalSalsoBinder,testARImodalSalsoVI,cvRMSE
PPMx-common,,0.04743355613212475,0.030860806486262236,0.038538171943620074,0.0349511544645509,22417.432998521806,59284.52278508755,413543.17519597773,7.161287135630499,-3.3113184828053406,-3.4782974057915816,-3.232468744589158,12,,,0.03976591351112405,0.010327345165859723,,,0.617188157587745,0.07000594107551708,4.048029995558448e104
PPMx (standard),,0.031373264446324635,0.019231488471975734,0.04286716165407985,0.03006306912661104,9960.789846123816,8.423059005529515,179687.93106081267,6.835319932479551,-3.1996380088682788,-3.3696513676511737,-3.178384318387097,5,,,0.03397732296844295,0.004022116600256059,,,0.721437000390271,0.033503304754810545,4.048029995558448e104
k-means,,0.037808424946502536,,,,0.9667782365504808,,,,-1.3855755153453504,,,19,,,,,,,,,4.048029995558448e104
DP-GMM,,0.01694254180839913,,,,0.9637061151992424,,,,-1.3824752196570693,,,2,,,,,,,,,4.048029995558448e104
