model,trainARI,testARI,testARI_l,testARI_u,testARI_trim,testRMSE,testRMSE_l,testRMSE_u,testRMSE_trim,testLPS,testLPS_l,testLPS_u,nclusters,trainARISalsoBinder,trainARISalsoVI,testARISalsoBinder,testARISalsoVI,trainARImodalSalsoBinder,trainARImodalSalsoVI,testARImodalSalsoBinder,testARImodalSalsoVI
PPMx-common,,0.033847019052227256,0.025073182168247506,0.03381297691321871,0.028637416600463025,16118.121787749147,6117.361229009898,338580.3981203569,1.1023687159805522,-1.4329778069741503,-1.6404037366326365,-1.3909207420284575,3,,,0.03419523064810518,0.008338503098364777,,,0.9519898429841799,0.12414583096460192
PPMx (standard),,0.03010146804225159,0.021300600388577166,0.032298869269208885,0.027238709756184688,11888.122934521552,1.3748565509735557,196867.6958333301,1.1428939609349023,-1.5031877822049236,-1.8514930383229964,-1.4058858902236255,3,,,0.030013548794346926,0.00731517037788771,,,0.9615161560538799,0.13578935513677762
k-means,,0.038929681416982345,,,,0.9764658199954036,,,,-1.395524270571458,,,19,,,,,,,,
DP-GMM,,0.051579610146362545,,,,NaN,,,,NaN,,,11,,,,,,,,
