fold,rmse,mean_rmse
1,2389.9555065899826,3170.616709598837
2,3083.6535308528937,3170.616709598837
3,3487.4031216997805,3170.616709598837
4,2593.518020261591,3170.616709598837
5,4298.5533685899345,3170.616709598837
