fold,rmse,mean_rmse
1,5112.811541552295,4.048029995558448e104
2,6195.405148639155,4.048029995558448e104
3,2.024014997779224e105,4.048029995558448e104
4,3875.6916161802137,4.048029995558448e104
5,5127.551785768722,4.048029995558448e104
